Value
-20315
-33399
70204
-21704
15679
-23727
-9316
40789
2662
-19681
-35908
47857
-22299
-37471
-213184
192614
-12022
58083
29310
-12154
-35356
-9545
34270
-72038
-4269
57709
-22221
-83242
51307
-112506
-62056
220146
-25675
61401
-42185
-46513
-43633
90134
-15880
-61437
92058
-140883
-60895
211245
-76603
78981
-52143
-12572
-37037
61715
10529
-81602
92268
7839
-44763
52732
-62144
-100617
147727
-3934
-24080
-302
-91852
137753
-24417
-17727
26047
-15753
-29780
-57750
-96161
78413
