Value
54821
75136
108535
38331
60035
44356
68083
77399
36610
33948
53629
89537
41680
63979
101450
314634
122020
134042
75959
46649
58803
94159
103704
69434
141472
145741
88032
110253
193495
142188
254694
316750
96604
122279
60878
103063
149576
193209
103075
118955
180392
88334
229217
290112
78867
155470
76489
128632
141204
178241
116526
105997
187599
95331
87492
132255
79523
141667
242284
94557
98491
122571
122873
214725
76972
101389
119116
93069
108822
138602
196352
292513
